Machine,TaskProcessingTime
2,70
2,49
2,15
2,12
3,77
3,66
4,47
4,25
4,24
4,15
4,28
4,4
5,34
5,74
5,14
5,21
6,48
6,47
6,14
6,4
6,28
7,93
7,50
8,91
8,12
8,26
8,6
8,4
8,5
9,84
9,33
9,28
10,47
10,39
10,64
11,69
11,48
11,21
11,4
11,21
12,21
12,77
12,25
12,4
12,14
13,75
13,28
13,6
13,5
13,25
13,1
13,1
14,70
14,62
14,13
15,50
15,50
15,26
15,11
15,5
15,26
16,90
16,22
16,12
16,14
16,7
17,24
17,46
17,70
17,4
18,75
18,39
18,14
18,6
18,5
18,5
19,30
19,53
19,6
19,34
19,11
19,7
19,7
20,46
20,14
20,28
20,28
20,12
20,12
