Machine,TaskProcessingTime
2,59
2,23
2,18
2,10
3,18
3,10
3,59
3,27
4,77
4,27
4,6
5,10
5,68
5,23
5,10
6,78
6,10
6,8
6,13
6,5
7,23
7,37
7,21
7,15
7,22
8,43
8,42
8,23
8,6
9,5
9,37
9,23
9,27
9,10
9,6
9,6
10,78
10,10
10,26
11,18
11,51
11,17
11,18
11,5
12,27
12,51
12,23
12,13
13,60
13,7
13,6
13,21
13,11
13,9
14,37
14,11
14,55
14,7
15,36
15,56
15,21
16,26
16,9
16,17
16,11
16,22
16,10
16,14
17,13
17,36
17,52
17,10
18,5
18,8
18,59
18,10
18,11
18,7
18,5
18,9
19,22
19,7
19,17
19,13
19,40
19,10
20,72
20,36
20,5
