Machine,TaskProcessingTime
2,76
2,44
2,13
2,10
2,40
2,2
2,10
2,13
2,8
2,19
2,34
3,16
3,3
3,58
3,44
3,61
3,54
3,10
3,3
3,4
3,6
3,10
4,52
4,78
4,41
4,42
4,10
4,38
4,8
4,78
5,4
5,8
5,86
5,34
5,7
5,59
5,32
5,19
5,2
5,6
5,2
5,7
5,2
5,2
6,45
6,47
6,43
6,24
6,29
6,32
6,15
6,8
6,3
6,10
6,15
7,56
7,8
7,67
7,56
7,40
7,3
7,6
7,16
7,10
7,4
7,3
7,10
8,6
8,17
8,2
8,65
8,56
8,6
8,32
8,41
8,32
8,10
8,2
9,56
9,42
9,35
9,57
9,10
9,32
9,6
9,6
9,19
9,2
9,4
10,58
10,13
10,17
10,15
10,13
10,62
10,40
10,8
10,31
10,7
10,6
