Machine,TaskProcessingTime
2,78
2,47
2,17
2,42
2,43
2,9
2,7
2,23
2,36
2,31
2,18
3,14
3,71
3,28
3,56
3,18
3,36
3,31
3,37
3,28
3,18
3,1
3,1
3,9
4,84
4,57
4,68
4,17
4,38
4,42
4,31
4,17
5,35
5,14
5,64
5,43
5,36
5,52
5,28
5,35
5,1
5,8
5,28
5,1
5,1
5,1
5,1
6,36
6,56
6,49
6,49
6,51
6,28
6,25
6,5
6,23
6,17
6,9
7,56
7,46
7,51
7,1
7,7
7,1
7,53
7,36
7,1
7,47
7,17
7,31
7,1
8,57
8,69
8,52
8,18
8,49
8,44
8,38
8,18
8,7
9,53
9,18
9,66
9,49
9,18
9,28
9,46
9,37
9,31
9,1
10,28
10,62
10,46
10,61
10,28
10,49
10,28
10,36
10,1
10,8
