Machine,TaskProcessingTime
2,36
2,32
2,23
2,37
2,46
2,35
2,22
2,20
3,88
3,31
3,55
3,24
3,17
3,12
3,2
3,3
3,8
3,8
4,45
4,57
4,24
4,43
4,36
4,15
4,5
4,1
4,8
4,5
4,3
4,3
4,3
5,23
5,51
5,22
5,61
5,12
5,20
5,32
5,20
5,3
5,3
5,1
6,35
6,23
6,48
6,7
6,42
6,27
6,3
6,23
6,31
6,1
6,7
6,1
7,68
7,8
7,46
7,9
7,42
7,12
7,27
7,19
7,1
7,15
7,1
8,57
8,31
8,61
8,7
8,41
8,7
8,35
8,9
9,15
9,15
9,81
9,3
9,29
9,14
9,5
9,27
9,36
9,2
9,4
9,6
9,7
9,3
10,3
10,35
10,22
10,36
10,50
10,38
10,24
10,5
10,9
10,3
10,3
10,9
10,12
