Machine,TaskProcessingTime
2,29
2,49
2,24
2,4
2,13
2,57
2,14
2,11
2,37
2,25
2,12
2,10
2,11
3,87
3,72
3,24
3,12
3,31
3,25
3,11
3,11
3,10
3,2
4,100
4,49
4,36
4,36
4,24
4,10
4,11
4,11
4,8
4,10
5,65
5,22
5,31
5,43
5,57
5,2
5,2
5,21
5,25
5,14
5,4
6,36
6,68
6,14
6,31
6,25
6,52
6,25
6,25
6,11
7,68
7,27
7,37
7,10
7,14
7,11
7,31
7,2
7,31
7,2
7,14
7,25
7,12
8,36
8,36
8,8
8,27
8,21
8,49
8,49
8,31
8,20
8,8
8,8
9,21
9,58
9,65
9,19
9,36
9,26
9,31
9,4
9,12
9,10
9,2
10,52
10,33
10,22
10,49
10,40
10,2
10,29
10,11
10,25
10,2
10,10
10,10
