Machine,TaskProcessingTime
2,48
2,91
2,71
2,58
2,42
2,48
2,56
2,17
2,42
2,2
2,7
2,28
2,26
2,1
2,19
2,7
2,1
2,1
3,5
3,89
3,17
3,5
3,45
3,86
3,64
3,42
3,39
3,41
3,37
3,5
3,25
3,13
3,12
3,22
3,10
3,7
3,1
4,89
4,37
4,25
4,57
4,12
4,51
4,27
4,10
4,38
4,13
4,45
4,18
4,12
4,4
4,19
4,10
4,33
4,4
4,29
4,13
4,14
4,5
4,89
5,99
5,41
5,16
5,45
5,42
5,41
5,38
5,7
5,40
5,10
5,31
5,27
5,26
5,3
5,39
5,28
5,20
5,7
5,3
5,2
6,71
6,9
6,33
6,66
6,18
6,71
6,67
6,26
6,14
6,2
6,27
6,19
6,40
6,31
6,18
6,26
6,7
6,8
6,5
6,3
6,4
6,1
6,1
7,56
7,17
7,55
7,7
7,1
7,31
7,55
7,18
7,12
7,65
7,19
7,12
7,56
7,40
7,15
7,33
7,1
7,19
7,6
7,22
7,17
7,8
8,48
8,86
8,41
8,35
8,40
8,33
8,12
8,66
8,53
8,11
8,18
8,15
8,37
8,17
8,25
8,9
8,10
8,5
8,4
9,53
9,29
9,38
9,76
9,21
9,40
9,45
9,16
9,58
9,38
9,39
9,40
9,12
9,22
9,12
9,11
9,9
9,1
9,1
9,3
10,67
10,48
10,57
10,25
10,12
10,45
10,67
10,2
10,55
10,5
10,46
10,33
10,12
10,24
10,12
10,1
10,16
10,22
10,4
10,9
10,3
11,88
11,52
11,17
11,6
11,42
11,35
11,7
11,7
11,71
11,18
11,35
11,41
11,6
11,38
11,12
11,2
11,6
11,3
11,17
11,1
11,22
11,18
11,14
11,3
11,4
12,25
12,38
12,90
12,32
12,19
12,6
12,25
12,66
12,56
12,24
12,27
12,41
12,42
12,1
12,22
12,4
12,3
12,16
12,17
12,3
12,6
12,1
13,98
13,2
13,47
13,41
13,50
13,65
13,12
13,61
13,24
13,40
13,40
13,11
13,1
13,24
13,20
13,12
13,11
13,3
13,1
13,1
14,5
14,65
14,36
14,37
14,56
14,20
14,62
14,29
14,29
14,48
14,26
14,20
14,36
14,29
14,25
14,15
14,1
14,5
14,3
14,3
14,9
14,5
15,19
15,96
15,63
15,17
15,38
15,49
15,52
15,18
15,41
15,18
15,10
15,41
15,20
15,25
15,26
15,13
15,15
15,3
16,58
16,93
16,29
16,81
16,71
16,17
16,11
16,7
16,33
16,48
16,40
16,33
16,23
16,2
16,12
16,7
17,48
17,4
17,47
17,72
17,37
17,17
17,76
17,37
17,39
17,7
17,9
17,28
17,39
17,16
17,5
17,29
17,5
17,8
17,4
17,18
17,7
17,3
17,3
17,1
17,6
18,46
18,48
18,41
18,2
18,66
18,23
18,35
18,24
18,9
18,57
18,37
18,15
18,15
18,17
18,45
18,11
18,31
18,11
18,12
18,1
18,3
18,5
18,4
18,4
18,2
19,87
19,19
19,64
19,22
19,72
19,27
19,12
19,6
19,46
19,15
19,46
19,29
19,7
19,23
19,38
19,9
19,8
19,5
19,3
19,11
19,12
19,3
20,70
20,45
20,53
20,73
20,65
20,57
20,39
20,3
20,6
20,37
20,40
20,32
20,4
20,10
20,4
20,12
20,11
20,1
20,1
20,1
