Machine,TaskProcessingTime
1,2
1,11
1,8
1,5
1,3
1,6
1,14
1,3
1,5
1,14
1,7
1,1
1,5
1,5
1,12
1,2
1,12
1,2
1,5
1,2
1,7
1,4
1,10
1,9
1,11
1,13
1,13
1,2
1,13
1,10
1,2
1,11
1,2
1,7
1,12
1,3
1,4
1,13
1,9
1,4
1,8
1,12
1,4
1,15
1,6
1,12
1,7
1,11
1,4
1,5
1,4
2,26
2,25
2,24
2,24
2,23
2,23
2,23
2,23
2,23
2,22
2,21
2,20
2,17
2,17
2,16
2,16
2,15
2,15
3,29
3,28
3,28
3,27
3,24
3,24
3,24
3,23
3,22
3,22
3,30
3,16
3,16
3,28
3,26
3,15
4,27
4,27
4,24
4,23
4,21
4,32
4,21
4,31
4,31
4,18
4,30
4,16
4,28
4,28
5,28
5,27
5,25
5,34
5,22
5,30
5,34
5,34
5,29
5,27
5,30
5,32
6,26
6,36
6,37
6,36
6,38
6,36
6,38
6,37
6,32
6,31
6,33
7,42
7,41
7,40
7,23
7,40
7,43
7,37
7,42
7,38
7,36
8,36
8,40
8,40
8,39
8,33
8,33
8,41
8,41
8,34
8,38
9,40
9,45
9,44
9,45
9,43
9,40
9,40
9,43
10,43
10,49
10,47
10,36
10,38
10,39
10,38
10,44
11,48
11,48
11,44
11,35
11,48
11,44
11,43
11,31
12,52
12,47
12,53
12,44
12,49
12,38
12,48
13,54
13,45
13,55
13,53
13,45
13,54
13,42
14,51
14,40
14,60
14,48
14,57
14,54
14,55
15,50
15,48
15,52
15,60
15,55
15,59
15,52
16,60
16,58
16,61
16,62
16,61
16,60
17,61
17,65
17,65
17,51
17,62
17,63
18,60
18,66
18,64
18,61
18,64
19,70
19,69
19,64
19,55
19,54
19,70
20,70
20,68
20,64
20,64
20,62
20,49
21,72
21,69
21,68
21,61
21,52
21,51
22,67
22,69
22,63
22,59
22,55
23,72
23,75
23,74
23,66
23,69
24,73
24,72
24,79
24,75
25,68
25,69
25,68
25,55
25,54
26,83
26,70
26,71
26,81
26,54
27,83
27,75
27,76
27,75
27,53
28,75
28,81
28,76
28,73
28,69
29,84
29,69
29,76
29,73
29,70
30,86
30,78
30,80
30,71
31,85
31,70
31,76
31,86
32,81
32,78
32,76
32,75
32,71
33,87
33,87
33,79
33,75
34,81
34,85
34,80
34,73
35,82
35,80
35,74
35,86
36,85
36,85
36,81
36,77
37,79
37,77
37,76
37,89
38,92
38,92
38,87
38,90
39,91
39,88
39,89
39,96
40,87
40,85
40,87
40,79
41,98
41,99
41,100
41,86
42,97
42,95
42,96
42,84
43,94
43,93
43,99
43,97
44,92
44,97
44,96
44,95
45,74
45,96
45,91
45,94
46,92
46,92
46,94
46,94
47,93
47,90
47,92
47,91
48,88
48,88
48,87
48,87
49,87
49,85
49,100
49,84
50,85
50,83
50,86
50,98
