Machine,TaskProcessingTime
1,11
1,20
1,28
1,2
1,5
1,10
1,27
1,8
1,21
1,19
1,4
1,5
1,30
1,12
1,1
1,27
1,8
1,17
1,20
1,24
1,31
1,24
1,14
1,8
1,2
1,19
1,2
1,14
1,29
1,12
1,7
1,14
1,8
1,22
2,46
2,45
2,44
2,44
2,43
2,42
2,41
2,39
2,37
2,36
2,35
2,31
3,62
3,59
3,58
3,54
3,49
3,41
3,36
3,49
3,46
4,52
4,44
4,39
4,57
4,56
4,53
4,51
4,33
4,63
5,77
5,75
5,74
5,43
5,58
5,65
5,64
6,86
6,90
6,89
6,88
6,86
6,68
7,86
7,72
7,62
7,84
7,96
7,96
8,83
8,95
8,83
8,82
8,65
8,91
9,82
9,96
9,93
9,81
9,77
9,66
10,83
10,100
10,98
10,79
10,97
