Machine,TaskProcessingTime
1,13
1,21
1,17
1,8
1,14
1,9
1,1
1,15
1,5
1,17
1,2
1,10
1,18
1,8
1,21
1,14
1,3
1,2
1,11
1,14
1,14
1,16
1,23
1,8
1,17
1,18
1,17
1,12
1,7
1,19
1,7
1,5
1,21
1,16
1,1
1,11
1,1
1,2
1,18
1,1
1,16
1,5
1,19
1,1
1,11
1,20
1,16
1,16
1,13
1,13
1,1
1,4
1,9
1,8
1,12
1,8
1,11
1,2
1,4
1,7
1,23
1,7
1,18
1,17
1,21
1,10
1,21
1,11
1,10
1,2
1,2
1,20
1,20
1,7
1,21
1,16
1,13
1,2
1,3
1,4
1,4
1,12
1,11
1,4
1,8
2,70
2,70
2,69
2,38
2,36
2,34
2,32
2,32
2,30
2,30
2,28
2,28
2,27
2,26
2,25
2,25
2,25
2,24
2,39
2,35
2,73
2,94
2,83
3,59
3,59
3,59
3,58
3,58
3,58
3,57
3,57
3,57
3,57
3,57
3,57
3,45
3,42
3,41
3,28
3,29
3,61
3,32
3,1
3,27
4,49
4,49
4,49
4,49
4,48
4,48
4,48
4,48
4,48
4,48
4,47
4,41
4,40
4,39
4,36
4,35
4,33
4,32
4,99
4,99
5,45
5,45
5,45
5,45
5,44
5,44
5,44
5,44
5,43
5,42
5,40
5,39
5,39
5,38
5,37
5,35
5,35
5,33
5,32
5,32
5,31
5,29
5,28
5,27
5,39
5,29
6,43
6,43
6,43
6,42
6,42
6,41
6,41
6,40
6,40
6,69
6,39
6,38
6,37
6,36
6,35
6,32
6,30
6,28
6,27
6,26
6,24
6,23
6,46
6,91
7,39
7,68
7,68
7,38
7,82
7,68
7,82
7,68
7,38
7,81
7,67
7,30
7,25
7,86
7,63
7,57
8,67
8,81
8,66
8,66
8,81
8,89
8,80
8,66
8,88
8,66
8,32
8,29
8,28
8,36
8,48
8,79
9,80
9,66
9,65
9,78
9,87
9,65
9,33
9,77
9,87
9,65
9,32
9,47
9,27
9,25
9,99
9,68
10,77
10,64
10,87
10,76
10,87
10,64
10,76
10,87
10,56
10,64
10,56
10,31
10,81
10,8
10,54
11,76
11,56
11,86
11,94
11,76
11,55
11,86
11,63
11,94
11,54
11,50
11,46
11,71
11,87
12,76
12,63
12,30
12,86
12,75
12,54
12,74
12,86
12,63
12,54
12,69
12,19
12,52
12,34
12,53
12,92
13,74
13,63
13,85
13,74
13,97
13,53
13,92
13,63
13,53
13,47
13,70
13,97
13,62
13,71
14,96
14,74
14,92
14,85
14,73
14,85
14,53
14,96
14,41
14,98
14,99
14,100
15,92
15,73
15,85
15,52
15,96
15,73
15,96
15,94
15,61
15,20
15,99
15,47
15,12
15,100
16,52
16,84
16,95
16,52
16,91
16,83
16,73
16,46
16,85
16,87
16,98
16,36
16,99
17,94
17,95
17,83
17,61
17,73
17,90
17,51
17,46
17,69
17,71
17,64
17,36
17,44
17,11
17,88
18,83
18,83
18,61
18,72
18,94
18,94
18,98
18,51
18,46
18,92
18,69
18,61
18,93
19,83
19,72
19,98
19,60
19,90
19,83
19,51
19,88
19,100
19,63
19,99
19,57
19,30
20,99
20,59
20,97
20,46
20,82
20,69
20,99
20,84
20,2
20,100
20,76
20,63
20,46
20,68
