Machine,TaskProcessingTime
1,9
1,2
1,5
1,10
1,11
1,3
1,7
1,9
1,3
1,8
1,13
1,6
1,5
1,6
1,8
1,11
1,7
1,8
1,4
1,13
1,10
1,8
1,12
1,5
1,3
1,5
1,8
1,2
1,9
1,11
1,13
1,13
1,2
1,1
1,3
1,13
1,4
1,10
1,6
1,12
1,13
1,5
1,6
1,12
1,11
1,1
1,13
2,26
2,26
2,25
2,25
2,25
2,24
2,24
2,22
2,20
2,19
2,19
2,15
2,42
2,43
3,57
3,30
3,25
3,25
3,24
3,23
3,22
3,16
3,15
3,15
3,15
3,14
3,48
3,28
4,39
4,38
4,36
4,36
4,35
4,33
4,25
4,20
4,17
4,49
4,42
5,39
5,38
5,36
5,35
5,34
5,30
5,29
5,29
5,28
6,42
6,41
6,35
6,32
6,31
6,28
6,27
6,24
6,22
6,15
6,80
7,41
7,40
7,39
7,38
7,32
7,32
7,21
7,19
7,18
7,32
7,45
8,37
8,37
8,36
8,36
8,68
8,36
8,30
8,20
8,37
8,14
9,66
9,66
9,66
9,34
9,29
9,55
9,31
10,57
10,29
10,15
10,91
10,84
10,86
11,56
11,56
11,64
11,29
11,63
11,55
12,56
12,64
12,48
12,43
12,49
12,44
12,66
13,55
13,63
13,92
13,93
13,67
14,34
14,53
14,90
14,89
14,56
15,63
15,76
15,60
15,46
15,99
16,76
16,89
16,46
16,92
16,57
17,75
17,61
17,54
17,75
17,46
17,43
18,61
18,48
18,61
18,50
18,45
18,78
19,46
19,52
19,64
19,68
19,39
19,54
20,53
20,61
20,74
20,77
20,7
20,91
21,52
21,46
21,100
21,62
21,24
21,91
22,73
22,60
22,73
22,96
22,57
23,92
23,88
23,71
23,84
23,45
24,82
24,99
24,100
24,74
25,83
25,86
25,52
25,60
25,8
25,92
26,84
26,72
26,41
26,87
26,83
27,71
27,51
27,33
27,90
27,98
28,51
28,85
28,59
28,45
28,91
29,91
29,94
29,89
29,77
29,7
30,80
30,92
30,45
30,80
30,84
31,51
31,90
31,80
31,85
31,71
32,59
32,70
32,79
32,79
32,89
33,43
33,97
33,29
33,96
33,85
34,59
34,45
34,55
34,65
34,100
35,80
35,78
35,63
35,14
35,98
36,87
36,69
36,59
36,47
36,24
36,54
37,84
37,79
37,42
37,53
37,27
37,46
38,85
38,78
38,69
38,51
38,83
38,15
39,85
39,86
39,84
39,31
39,54
40,90
40,61
40,68
40,81
40,45
41,77
41,49
41,46
41,97
41,89
42,97
42,97
42,65
42,92
43,69
43,79
43,58
43,65
43,23
43,84
44,91
44,58
44,41
44,63
44,100
45,78
45,43
45,69
45,99
45,89
46,97
46,33
46,91
46,55
46,65
47,85
47,83
47,55
47,50
47,88
48,86
48,95
48,60
48,15
48,92
49,80
49,73
49,19
49,26
49,98
49,74
50,76
50,71
50,83
50,58
50,29
50,50
